length_mm,weight_g,standard_weight,relative_weight,field_sex,lab_sex,comments,gonad_weight_g,ovary_avg_weight,ovary_1 _g,ovary_2_g,o1_sample_1,o1_sample_2,o1_sample_3,o2_sample_1,o2_sample_2,o2_sample_3,o1_avg_count,o2_avg_count,,
705,2738,3486.114,78.54017,F,F,NA,407.24,203.62,226.89,180.35,280,261,279,273,247,279,273,266,,
673,2479,2969.067,83.49423,F,F,NA,310.75,155.375,158.85,151.9,255,232,246,243,229,238,244,237,,
685,2855,3156.070,90.46061,F,F,NA,353.3,176.65,175.04,178.26,245,312,311,337,317,318,289,324,,
661,2340,2790.077,83.86864,M,M,NA,104.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
688,2695,3204.097,84.11106,M,M,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
545,1245,1432.143,86.93267,M,M,NA,41.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
654,2118,2689.284,78.75702,M,M,NA,93.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
617,1864,2199.002,84.76574,M,M,NA,72.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
700,2805,3401.409,82.46583,M,M,NA,134.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
654,2338,2689.284,86.93763,M,M,NA,99.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
691,2761,3252.641,84.88487,M,M,NA,122.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
559,1792,1563.346,114.62591,M,M,NA,95.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
673,2430,2969.067,81.84388,M,M,NA,122.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
671,2575,2938.685,87.62423,M,M,NA,111.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
632,2058,2389.341,86.13252,M,M,NA,94.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
629,1837,2350.372,78.15784,M,M,NA,109.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
624,2209,2286.430,96.61349,M,M,NA,162.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
717,3005,3695.508,81.31493,M,M,NA,147.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
743,3238,4179.625,77.47106,M,M,NA,140.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
650,2311,2632.865,87.77511,M,M,NA,131.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
700,2947,3401.409,86.64057,M,M,NA,123.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
668,2348,2893.526,81.14666,M,M,NA,101.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
631,1930,2376.301,81.21866,M,M,NA,109.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
616,1843,2186.709,84.28191,M,M,NA,92.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
626,1861,2311.857,80.49807,M,M,NA,84.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
765,3366,4623.107,72.80818,M,M,NA,160.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
646,2083,2577.292,80.82127,M,M,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
676,2541,3015.059,84.27696,M,M,NA,115.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
666,2427,2863.696,84.75061,M,M,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
691,2887,3252.641,88.75864,M,M,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
590,1759,1883.929,93.36869,M,M,NA,77.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
580,1664,1775.854,93.70142,M,M,NA,74.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
605,1894,2054.691,92.17930,M,M,NA,132.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
658,2075,2746.557,75.54912,M,M,NA,137.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
662,1876,2804.692,66.88791,M,M,NA,81.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
613,1885,2150.123,87.66938,M,M,NA,76.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
574,1545,1713.166,90.18389,M,M,NA,92.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
650,2400,2632.865,91.15546,M,M,NA,176.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
575,1467,1723.503,85.11734,M,M,NA,89.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
674,2483,2984.342,83.20092,M,M,NA,126.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
683,2540,3124.338,81.29723,M,M,NA,112.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
596,1708,1950.972,87.54610,M,M,NA,82.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
599,1879,1985.122,94.65415,F,M,NA,109.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
684,2500,3140.175,79.61339,M,M,NA,83.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
765,3927,4623.107,84.94288,F,NA,tagged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
664,2776,2834.085,97.95048,F,NA,tagged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
702,2688,3435.113,78.25070,M,NA,tagged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
738,3372,4083.220,82.58188,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
605,1746,2054.691,84.97627,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
641,2176,2509.004,86.72764,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
630,2146,2363.311,90.80479,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
712,3641,3607.205,100.93687,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
648,2412,2604.973,92.59213,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
599,1749,1985.122,88.10544,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
701,2538,3418.231,74.24892,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
620,1976,2236.174,88.36520,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
643,2189,2536.163,86.31150,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
667,2806,2878.584,97.47849,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
661,2530,2790.077,90.67849,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
721,3339,3767.249,88.63233,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
645,2133,2563.530,83.20559,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
643,2266,2536.163,89.34758,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
650,2369,2632.865,89.97803,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
614,1818,2162.270,84.07831,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
686,2763,3172.022,87.10533,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
625,2061,2299.118,89.64306,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
602,1831,2019.694,90.65732,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
624,1816,2286.430,79.42512,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
578,1575,1754.780,89.75485,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
703,3021,3452.054,87.51311,F,NA,tagged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
674,2432,2984.342,81.49200,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
665,2361,2848.863,82.87516,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
614,2044,2162.270,94.53029,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
608,1918,2090.118,91.76516,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
564,1429,1612.206,88.63631,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
727,3096,3876.707,79.86160,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
627,1993,2324.645,85.73352,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
609,1852,2102.023,88.10562,M,NA,tagged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
587,1802,1851.029,97.35124,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
696,2648,3334.706,79.40730,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
571,1470,1682.420,87.37415,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
574,1363,1713.166,79.56029,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
670,2357,2923.577,80.62042,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
703,3101,3452.054,89.83057,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
614,2186,2162.270,101.09747,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
602,1626,2019.694,80.50726,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
